SN,true_label,prediction,modality,kfold_of_pred
ZTF20aahggbm_2,0,0.0,lightcurveandspectral,2
ZTF20aalcyih_0,0,1.0,lightcurve,2
ZTF20aalcyih_0,0,0.0,spectral,2
ZTF20aalcyih_0,0,0.0,lightcurveandspectral,2
ZTF20aammtwx_0,0,1.0,lightcurve,2
ZTF20aammtwx_0,0,0.0,spectral,2
ZTF20aammtwx_0,0,0.0,lightcurveandspectral,2
ZTF20aaurfnl_0,0,0.0,lightcurve,2
ZTF20aaurfnl_0,0,0.0,spectral,2
ZTF20aaurfnl_0,0,0.0,lightcurveandspectral,2
ZTF20aauwhfa_0,0,1.0,lightcurve,2
ZTF20aauwhfa_0,0,0.0,spectral,2
ZTF20aauwhfa_0,0,0.0,lightcurveandspectral,2
ZTF20aavzffg_0,0,0.0,lightcurve,2
ZTF20aavzffg_0,0,0.0,spectral,2
ZTF20aavzffg_0,0,0.0,lightcurveandspectral,2
ZTF20abeezca_0,0,0.0,lightcurve,2
ZTF20abeezca_0,0,0.0,spectral,2
ZTF20abeezca_0,0,0.0,lightcurveandspectral,2
ZTF20abkiarz_0,0,0.0,lightcurve,2
ZTF20abkiarz_0,0,0.0,spectral,2
ZTF20abkiarz_0,0,0.0,lightcurveandspectral,2
ZTF20abtkjfw_0,0,0.0,lightcurve,2
ZTF20abtkjfw_0,0,0.0,spectral,2
ZTF20abtkjfw_0,0,0.0,lightcurveandspectral,2
ZTF20abxpoxd_0,0,0.0,lightcurve,2
ZTF20abxpoxd_0,0,0.0,spectral,2
ZTF20abxpoxd_0,0,0.0,lightcurveandspectral,2
ZTF20acfqngt_0,0,0.0,lightcurve,2
ZTF20acfqngt_0,0,0.0,spectral,2
ZTF20acfqngt_0,0,0.0,lightcurveandspectral,2
ZTF20aclnplo_0,0,0.0,lightcurve,2
ZTF20aclnplo_0,0,0.0,spectral,2
ZTF20aclnplo_0,0,0.0,lightcurveandspectral,2
ZTF20adadlqm_0,1,0.0,lightcurve,2
ZTF20adadlqm_0,1,0.0,spectral,2
ZTF20adadlqm_0,1,0.0,lightcurveandspectral,2
ZTF20adnxs21_0,1,1.0,lightcurve,2
ZTF20adnxs21_0,1,1.0,spectral,2
ZTF20adnxs21_0,1,1.0,lightcurveandspectral,2
ZTF20ikqs02x_0,1,1.0,lightcurve,2
ZTF20ikqs02x_0,1,1.0,spectral,2
ZTF20ikqs02x_0,1,1.0,lightcurveandspectral,2
ZTF20ikqs06x_0,1,1.0,lightcurve,2
ZTF20ikqs06x_0,1,1.0,spectral,2
ZTF20ikqs06x_0,1,1.0,lightcurveandspectral,2
ZTF20ikqs10x_0,1,1.0,lightcurve,2
ZTF20ikqs10x_0,1,1.0,spectral,2
ZTF20ikqs10x_0,1,1.0,lightcurveandspectral,2
ZTF20ikqs12x_0,1,1.0,lightcurve,2
ZTF20ikqs12x_0,1,1.0,spectral,2
ZTF20ikqs12x_0,1,1.0,lightcurveandspectral,2
ZTF20ikqs13x_0,1,1.0,lightcurve,2
ZTF20ikqs13x_0,1,1.0,spectral,2
ZTF20ikqs13x_0,1,1.0,lightcurveandspectral,2
ZTF23aaialcw_0,1,1.0,lightcurve,2
ZTF23aaialcw_0,1,1.0,spectral,2
ZTF23aaialcw_0,1,1.0,lightcurveandspectral,2
ZTF23abjrolk_0,0,0.0,lightcurve,2
ZTF23abjrolk_0,0,0.0,spectral,2
ZTF23abjrolk_0,0,0.0,lightcurveandspectral,2
ZTF23gwls04x_0,1,1.0,lightcurve,2
ZTF23gwls04x_0,1,1.0,spectral,2
ZTF23gwls04x_0,1,1.0,lightcurveandspectral,2
ZTF23gwls05x_0,1,1.0,lightcurve,2
ZTF23gwls05x_0,1,1.0,spectral,2
ZTF23gwls05x_0,1,1.0,lightcurveandspectral,2
ZTF23gwls06x_0,1,1.0,lightcurve,2
ZTF23gwls06x_0,1,1.0,spectral,2
ZTF23gwls06x_0,1,1.0,lightcurveandspectral,2
ZTF23gwls10x_0,1,0.0,lightcurve,2
ZTF23gwls10x_0,1,1.0,spectral,2
ZTF23gwls10x_0,1,1.0,lightcurveandspectral,2
ZTF23gwls16x_0,1,1.0,lightcurve,2
ZTF23gwls16x_0,1,1.0,spectral,2
ZTF23gwls16x_0,1,1.0,lightcurveandspectral,2
ZTF23gwls19x_0,1,1.0,lightcurve,2
ZTF23gwls19x_0,1,1.0,spectral,2
ZTF23gwls19x_0,1,1.0,lightcurveandspectral,2
ZTF24aaymkrs_0,0,0.0,lightcurve,2
ZTF24aaymkrs_0,0,0.0,spectral,2
ZTF24aaymkrs_0,0,0.0,lightcurveandspectral,2
ZTF24abpdzvm_0,1,0.0,lightcurve,2
ZTF24abpdzvm_0,1,0.0,spectral,2
ZTF24abpdzvm_0,1,0.0,lightcurveandspectral,2
ZTF24abqqven_0,0,0.0,lightcurve,2
ZTF24abqqven_0,0,0.0,spectral,2
ZTF24abqqven_0,0,0.0,lightcurveandspectral,2
ZTF24absznoi_0,0,1.0,lightcurve,2
ZTF24absznoi_0,0,0.0,spectral,2
ZTF24absznoi_0,0,1.0,lightcurveandspectral,2
ZTF24zsws21x_0,1,1.0,lightcurve,2
ZTF24zsws21x_0,1,1.0,spectral,2
ZTF24zsws21x_0,1,1.0,lightcurveandspectral,2
ZTF25aadnogd_0,0,0.0,lightcurve,2
ZTF25aadnogd_0,0,0.0,spectral,2
ZTF25aadnogd_0,0,0.0,lightcurveandspectral,2
